"146209";"Dernier amour";"JACQUOT Benoît";"LES FILMS DU LENDEMAIN ET JPG FILMS";6490604;"fiction";"2018"
"148993";"Dernier bain (Le)";"BONNEVILLE David";"BOCALUPO FILMS";850899;"fiction";"2018"
"148850";"Dernière vie de Simon (La)";"KARMANN Léo";"GEKO FILMS";2423797;"fiction";"2018"
"149572";"Desrances";"TRAORE Apolline";"ARAUCANIA FILMS";952067;"fiction";"2018"
"137594";"Deux";"MENEGHETTI Filippo";"PAPRIKA FILMS";2656100;"fiction";"2018"
"149377";"Dindon (Le)";"LESPERT Jalil";"CINÉFRANCE STUDIOS ET PATHÉ FILMS";13920735;"fiction";"2018"
"149497";"Divorce club";"YOUN Michaël";"RADAR FILMS ET SND";7996469;"fiction";"2018"
"148115";"Dogman";"GARRONE Matteo";"LE PACTE";5363390;"fiction";"2018"
"148046";"Domingo";"BARBOSA Fellipe / LINHART Clara";"DAMNED FILMS-PRODUCTION ET DISTRIBUTION";772000;"fiction";"2018"
"148479";"Donbass";"LOZNITSA Sergei";"JBA PRODUCTION";2472143;"fiction";"2018"
"149036";"Douze mille";"TREBAL Nadège";"MEZZANINE FILMS";1214607;"fiction";"2018"
"148094";"Drapeaux de papier (Les)";"AMBROSIONI Nathan";"SENSITO FILMS";935305;"fiction";"2018"
"147736";"E-book";"ASSAYAS Olivier";"CHARLES GILLIBERT CG CINÉMA";4610221;"fiction";"2018"
"146696";"Editeur";"OTCHAKOVSKI-LAURENS Paul";"LES FILMS DU RAT";27980;"fiction";"2018"
"147739";"Edmond";"MICHALIK Alexis";"LÉGENDE FILMS ET GAUMONT";10942249;"fiction";"2018"
"147836";"El Arbol de la sangre";"MEDEM Julio";"NOODLES PRODUCTION";6000000;"fiction";"2018"
"146243";"Enfant roi (L')";"DE BARY Antoine";"ICONOCLAST FILMS";2599748;"fiction";"2018"
"134843";"Enkas (L')";"MARX Sarah";"LA RUMEUR FILME";1241239;"fiction";"2018"
"146599";"Enorme";"LETOURNEUR Sophie";"VITO FILMS ET AVENUE B PRODUCTIONS";2993495;"fiction";"2018"
"148230";"Equilibristes (Les)";"MICHEL Perrine";"LA CHAMBRE AUX FRESQUES";392401;"docu";"2018"
"148016";"Escapade (L')";"ALCALA José";"AGAT FILMS ET CIE";3338021;"fiction";"2018"
"147042";"Esprit de famille (L')";"BESNARD Eric";"CINÉ NOMINÉ ET SAME PLAYER";5220499;"fiction";"2018"
"142221";"Etat sauvage (L')";"PERRAULT David";"MILLE ET UNE PRODUCTIONS";3626652;"fiction";"2018"
"147464";"Etoiles restantes (Les)";"PAILLARD Loïc";"PLAN 2 ET FILMARIUM PRODUCTION";153725;"fiction";"2018"
"149398";"Etre vivant et le savoir";"CAVALIER Alain";"CAMÉRA ONE";288862;"fiction";"2018"
"148359";"Extraordinaire voyage de Marona (L')";"DAMIAN Anca";"SACREBLEU PRODUCTIONS";2546140;"anim";"2018"
"138938";"Fahim";"MARTIN LAVAL Pierre-François";"WAITING FOR CINÉMA ET ALICÉLÉO";9052245;"fiction";"2018"
"148488";"Fataliste (Le)";"GARREL Louis";"WHY NOT PRODUCTIONS";1200106;"fiction";"2018"
"145765";"Femme-enfant";"HAMZAWI Amro";"ECCE FILMS ";1218499;"fiction";"2018"
"141650";"Fête des mères (La)";"MENTION SCHAAR Marie-Castille";"WILLOW FILMS";5635015;"fiction";"2018"
"147814";"Fille au bracelet (La)";"DEMOUSTIER Stéphane";"PETIT FILM";3331845;"fiction";"2018"
"149391";"Fille unique";"MERLE Bruno";"UNITE DE PRODUCTION";1139407;"fiction";"2018"
"148584";"Flesh out";"OCCHIPINTI Michela";"MACT PRODUCTIONS";575742;"docu";"2018"
"148878";"Footeuses (Les)";"HAMIDI Mohamed";"ADNP ET KISSFILMS";8644361;"fiction";"2018"
"148356";"France";"SIMON LUANGKHOT Kiyé";"SHELLAC SUD";418650;"docu";"2018"
"135395";"Francisca (La)";"LITORRIAGA Rodrigo";"DOLCE VITA FILMS";1022821;"fiction";"2018"
"148821";"Frankie";"SACHS Ira";"SBS PRODUCTIONS";2261992;"fiction";"2018"
"124092";"Frères d'arme";"LABROSSE Sylvain";"LA VIE EST BELLE FILMS ASSOCIÉS ET ORIFLAMME FILMS";785759;"fiction";"2018"
"146863";"Frères Sisters (Les)";"AUDIARD Jacques";"WHY NOT PRODUCTIONS";34914048;"fiction";"2018"
"149931";"Frontière (La)";"FONTEYNE Frédéric";"LES FILMS DU POISSON";2913846;"fiction";"2018"
"147624";"Fugue";"BENKI Artemio";"PETIT À PETIT PRODUCTION";585737;"docu";"2018"
"148475";"Fureur de voir (La)";"VON STURLER Manuel";"LES FILMS DU TAMBOUR DE SOIE";777537;"docu";"2018"
"143007";"Furie";"ABBOU Olivier";"VINGT DEUX HEURES VINGT DEUX ET ALLIANCE PRODUCTION CINÉMATOGRAPHIQUE";2097298;"fiction";"2018"
"140995";"Gendre de ma vie (Le)";"DESAGNAT François";"NAC FILMS ET PATHÉ FILMS";7745388;"fiction";"2018"
"148630";"Gogo";"PLISSON Pascal";"LADYBIRDS CINÉMA";1683216;"docu";"2018"
"147796";"Gomera";"PORUMBOIU Corneliu";"LES FILMS DU WORSO";2769920;"fiction";"2018"
"149539";"Haut perchés";"DUCASTEL Olivier";"REMORA FILMS";351267;"fiction";"2018"
"149254";"Héros ne meurent jamais (Les)";"RAPIN Aude Léa";"LES FILMS DU WORSO ET RADAR FILMS";999905;"fiction";"2018"
"147835";"Heureux comme Lazzaro";"ROHRWACHER Alice";"AD VITAM PRODUCTION";5339990;"fiction";"2018"
"144992";"Histoire d'Orly";"TENE K Francis";"PATOU FILMS INTERNATIONAL";457256;"fiction";"2018"
"146146";"Histoire d'un regard";"OTERO Mariana";"ARCHIPEL 35";544730;"docu";"2018"
"146420";"Ibiza";"LEMORT Arnaud";"ATELIER DE PRODUCTION ET GAUMONT";12537441;"fiction";"2018"
"147268";"Il rumore del sol";"LOCATELLI Mirko";"AGAT FILMS & CIE";849569;"fiction";"2018"
"146376";"Impulso";"BELMONTE Emilio";"LES PRODUCTIONS CINÉMATOGRAPHIQUES DE LA BUTTE MONTMARTRE";344878;"docu";"2018"
"148876";"Inspiratrice (L')";"MAGNE Grégory";"LES FILMS VELVET";2678441;"fiction";"2018"
"146154";"Invisibles (Les)";"PETIT Louis-Julien";"ELEMIAH";4463033;"fiction";"2018"
"149340";"Invité (L')";"CHIARINI Duccio";"HOUSE ON FIRE";1300000;"fiction";"2018"
"144759";"Isola";"DESCHAMPS Fabianny";"PARAISO PRODUCTION DIFFUSION ET POMME HURLANTE FILMS";154758;"fiction";"2018"
"147482";"J'ai perdu Albert";"VAN CAUWELAERT Didier";"ANGELUS PRODUCTIONS";4784484;"fiction";"2018"
"148486";"J'ai perdu mon corps";"CLAPIN Jérémy";"XILAM ANIMATION";4746187;"anim";"2018"
"148283";"J'aime mon patron";"GRAVELLE Brice";"LES MUTINS DE PANGÉE ";72483;"docu";"2018"
"149320";"Je te promets d'être sage";"LE PAGE Ronan";"EASY TIGER";2648080;"fiction";"2018"
"127322";"Je voudrais que quelqu'un m'attende quelque part";"VIARD Arnaud";"EASY TIGER";3912353;"fiction";"2018"
"149130";"Jeanne";"DUMONT Bruno";"3B PRODUCTIONS";1234732;"fiction";"2018"
"139084";"Joueurs";"MONGE Marie";"THE FILM";3415547;"fiction";"2018"
"148983";"Joyeux anniversaire";"KAHN Cédric";"LES FILMS DU WORSO";5351738;"fiction";"2018"
"141483";"Jumbo";"WITTOCK Zoé";"INSOLENCE PRODUCTIONS";2921217;"fiction";"2018"
"147887";"Jump";"TVERDOVSKIY Ivan I.";"ARIZONA PRODUCTIONS";1300000;"fiction";"2018"
"148422";"Jusqu'ici tout va bien";"HAMIDI Mohamed";"ADNP ET KISSFILMS";8429733;"fiction";"2018"
"143768";"Just kids";"BLANC Christophe";"BLUE MONDAY PRODUCTIONS";2283855;"fiction";"2018"
"145134";"Justice en cours";"SALIS Robert";"BANDITS";954045;"docu";"2018"
"148461";"Kat people";"GASTINE Marco";"LES FILMS DU TAMBOUR DE SOIE";220652;"docu";"2018"
"146684";"Kombissiri";"LETZGUS René";"STAR PRODUCTION";334501;"docu";"2018"
"147840";"Lands of loneliness";"COLELL Meritxell";"PARAISO PRODUCTION-DIFFUSION";493290;"fiction";"2018"
"149305";"Laurence";"PFEIFFER Raphael";"GOGOGO FILMS ET DESELBY PRODUCTIONS";366070;"docu";"2018"
"142951";"Les petits flocons (ex Syndrome du moniteur de ski (Le))";"DE MEAUX Joséphine";"DOMINO FILMS";3553000;"fiction";"2018"
"149429";"Liberté";"SERRA Albert";"IDÉALE AUDIENCE";1199986;"fiction";"2018"
"147649";"Libre (ex A tous vents)";"TOESCA Michel";"SANOSI PRODUCTIONS";162729;"docu";"2018"
"147888";"Lola et ses frères";"ROUVE Jean-Paul";"NOLITA CINÉMA ET LES FILMS DU MONSIEUR";5970676;"fiction";"2018"
"149345";"Lola vers la mer";"MICHELI Laurent";"10 : 15 PRODUCTIONS";2678899;"fiction";"2018"
"147227";"Lourdes";"DEMAIZIERE Thierry / TEURLAI Alban";"FALABRACKS ET MARS FILMS";928905;"docu";"2018"
"148247";"Lukas (ex The bouncer)";"LECLERCQ Julien";"LABYRINTHE FILMS ET ATCHAFALAYA FILMS";7506409;"fiction";"2018"
"145078";"Lutte des classes (La)";"LECLERC Michel";"KARÉ PRODUCTIONS";3602442;"fiction";"2018"
"148914";"M";"ZAUBERMAN Yolande";"CHARLES GILLIBERT CG CINÉMA ET PHOBICS";822954;"docu";"2018"
"147476";"M.I.L.F. (Mother I'd Like to Fuck)";"LAFFONT Axelle";"SINGLE MAN PRODUCTIONS";4401992;"fiction";"2018"
"131200";"Ma famille et le loup (My family and the wolf)";"GARCIA Adria";"FOLIVARI ET NECTARIOUS";5303429;"fiction";"2018"
"146798";"Ma mère est folle";"KURYS Diane";"ALEXANDRE FILMS";4586191;"fiction";"2018"
"138726";"Made in China";"ABRAHAM Julien";"MONTAUK FILMS ET RIPLEY FILMS";3692236;"fiction";"2018"
"147829";"Magic 7";"KRAWCZYK Gérard";"ADNP ET PROFIDEV";6107257;"fiction";"2018"
"148279";"Maguy Marin l'urgence d'agir";"MAMBOUCH David";"NAIA PRODUCTIONS";328799;"docu";"2018"
"147590";"Mais vous êtes fous";"DIWAN Audrey";"RECTANGLE PRODUCTIONS";3610032;"fiction";"2018"
"148269";"Marche des loups (La)";"BERTRAND Jean-Michel";"MC4";890131;"docu";"2018"
"147267";"Martin Eden";"MARCELLO Pietro";"SHELLAC SUD";3947807;"fiction";"2018"
"146726";"Maya";"HANSEN-LOVE Mia";"LFP - LES FILMS PELLÉAS";5124756;"fiction";"2018"
"148417";"Mektoub, my love : Intermezzo";"KECHICHE Abdellatif";"QUAT'SOUS FILMS";5448394;"fiction";"2018"
"127958";"Mémoire du sang (La)";"PETITJEAN Frédéric";"EIGHT 35";2295420;"fiction";"2018"
"135063";"Merveilles à Montfermeil";"BALIBAR Jeanne";"FILM(S) ET VITO FILMS";1824689;"fiction";"2018"
"147874";"Mignonnes";"DOUCOURE Maïmouna";"ZANGRO";3431873;"fiction";"2018"
