Nom_commune,Code_postal,coordonnees_gps
CHARETTE VARENNES,71270,46.9006196221,5.19727816775
BREZIERS,5190,44.4210530909,6.22281621001
CHARNAY LES CHALON,71350,46.9343265104,5.08431654646
VALDOULE,5150,44.4677366709,5.50388863719
CHASSELAS,71570,46.2782503008,4.71871730618
VALDOULE,5150,44.4677366709,5.50388863719
CHATEAUNEUF,71740,46.2104681552,4.26056533405
CHABESTAN,5400,44.4775755934,5.78305319582
CHENAY LE CHATEL,71340,46.228920415,3.93811744372
CREVOUX,5200,44.5376065379,6.62470372696
CHENOVES,71390,46.6662558007,4.70092580314
EOURRES,5300,44.2138373403,5.72894553965
CHEVAGNY LES CHEVRIERES,71960,46.3358003869,4.77205661745
L EPINE,5700,44.4248796516,5.61094352039
LA CLAYETTE,71800,46.2892944317,4.31079967145
LA GRAVE,5320,45.0601102401,6.28406977587
CORDESSE,71540,47.043408177,4.33366013416
LARAGNE MONTEGLIN,5300,44.3340345431,5.81650957133
CORMATIN,71460,46.535532183,4.69561266719
LETTRET,5130,44.4811639998,6.07258452754
CORTAMBERT,71250,46.4704137076,4.69741359705
MANTEYER,5400,44.5333321119,5.94989667477
COUBLANC,71170,46.1713810264,4.27380729464
MEREUIL,5700,44.3839741469,5.71259098721
CRESSY SUR SOMME,71760,46.7008961258,3.86729542324
LA MOTTE EN CHAMPSAUR,5500,44.7407367523,6.12930149849
CRUZILLE,71260,46.5070246965,4.78675266634
LA PIARRE,5700,44.4784087163,5.64803205429
CUISERY,71290,46.5569799009,4.99361378862
POLIGNY,5500,44.6848876675,6.03431860597
CURBIGNY,71800,46.3116932174,4.31698207413
ROUSSET,5190,44.4843785512,6.2666913091
CURGY,71400,46.9886049961,4.38277730487
ST BONNET EN CHAMPSAUR,5500,44.6823269908,6.10286050171
CURTIL SOUS BURNAND,71460,46.5832448679,4.6312448943
STE COLOMBE,5700,44.2889272211,5.66834974647
CUSSY EN MORVAN,71550,47.0930977975,4.1636345374
ST FIRMIN,5800,44.7934858148,6.02571058056
DAMEREY,71620,46.8344484396,4.99429761869
ST SAUVEUR,5200,44.5365820455,6.52920301665
DEVROUZE,71330,46.7614578185,5.16719023343
SALEON,5300,44.3201551058,5.77527169353
DIGOIN,71160,46.4891651235,4.02511604849
SORBIERS,5150,44.3625387102,5.57325324553
DOMPIERRE LES ORMES,71520,46.354950302,4.48081055025
VEYNES,5400,44.5571529708,5.82286002514
DOMPIERRE LES ORMES,71520,46.354950302,4.48081055025
VILLAR ST PANCRACE,5100,44.8395685825,6.65048294053
ESSERTENNE,71510,46.8109722514,4.54150474121
ANDON,6750,43.7769856778,6.82318647257
FRAGNES LA LOYERE,71530,46.8312797426,4.84940221006
ANTIBES,6160,43.587465146,7.10635418256
GERMAGNY,71460,46.6733437634,4.59764029825
ASCROS,6260,43.9193423,7.01550684755
GIBLES,71800,46.3179773987,4.38022998111
LE BAR SUR LOUP,6620,43.6992943088,6.96272779051
GIGNY SUR SAONE,71240,46.6538485126,4.93846686758
BELVEDERE,6450,44.0564872239,7.37383120022
GIVRY,71640,46.7702122725,4.75441496992
CAGNES SUR MER,6800,43.6715162078,7.15275703379
GRANGES,71390,46.7369347397,4.75217241831
CAP D AIL,6320,43.7247392327,7.40161617522
GRURY,71760,46.6645308499,3.91335098661
CASTELLAR,6500,43.8220566609,7.49891571145
HAUTEFOND,71600,46.4353617469,4.17206207978
CASTILLON,6500,43.8361451105,7.46455247487
HUILLY SUR SEILLE,71290,46.6051659343,5.053133023
CHATEAUNEUF VILLEVIEILLE,6390,43.7999098278,7.29412423176
JONCY,71460,46.6145870121,4.55010993204
COLLONGUES,6910,43.8935981177,6.86383142444
JOUDES,71480,46.4732075841,5.33948956282
ENTRAUNES,6470,44.2146960621,6.76292204018
JUGY,71240,46.6044707808,4.86148307035
ENTRAUNES,6470,44.2146960621,6.76292204018
JUIF,71440,46.6827335674,5.16245141859
ESCRAGNOLLES,6460,43.7294033373,6.7833728891
LAYS SUR LE DOUBS,71270,46.9201256677,5.24330208466
GILETTE,6830,43.8481962471,7.1613234113
LUGNY,71260,46.4805805718,4.81912339905
GORBIO,6500,43.7860281963,7.44603824995
MACON,71000,46.3205511756,4.81842529639
GOURDON,6620,43.7242493778,6.96356065093
MAILLY,71340,46.2279316064,4.11194727703
GRASSE,6130,43.655639428,6.93190508233
MALTAT,71140,46.6751423253,3.80940604841
GREOLIERES,6620,43.8070006506,6.93196496167
MANCEY,71240,46.5696717803,4.84535325128
GUILLAUMES,6470,44.088068317,6.87493501534
MARIGNY,71300,46.6807912321,4.46979546252
ISOLA,6420,44.1872585336,7.07488062255
MARY,71300,46.6104508131,4.50041386834
LANTOSQUE,6450,43.9706457549,7.30485730116
MATOUR,71520,46.3110636207,4.47716868181
MALAUSSENE,6710,43.9153232562,7.14112063451
MERVANS,71310,46.7945134241,5.18412548455
MANDELIEU LA NAPOULE,6210,43.5380510468,6.91808936542
MILLY LAMARTINE,71960,46.3485783556,4.69624606174
MENTON,6500,43.7908233727,7.49365612374
LE MIROIR,71480,46.5431506465,5.33864320841
OPIO,6650,43.6575610719,7.00860864158
MONTCEAUX RAGNY,71240,46.6203875932,4.84178033117
PEGOMAS,6580,43.5865553156,6.92224837943
MONTCENIS,71710,46.786245174,4.39093818161
PEILLON,6440,43.7727352898,7.3714797073
MONT LES SEURRE,71270,46.9529037641,5.12901997473
PEYMEINADE,6530,43.6305294544,6.88166520884
ORMES,71290,46.6333104747,4.96657248032
ROUBION,6420,44.1085047639,7.02802973178
OZENAY,71700,46.5352832941,4.84332783222
STE AGNES,6500,43.8055344567,7.46128496982
PERRIGNY SUR LOIRE,71160,46.5434949213,3.85137583197
ST CEZAIRE SUR SIAGNE,6530,43.6594259137,6.80329376165
PIERRE DE BRESSE,71270,46.8824879885,5.25265750532
ST VALLIER DE THIEY,6460,43.696895033,6.85062748704
POURLANS,71270,46.9630221086,5.23663173279
SIGALE,6910,43.8757999129,6.96558618108
PRETY,71290,46.5394977837,4.95553905201
THEOULE SUR MER,6590,43.4985345439,6.92965248383
PRISSE,71960,46.3243137138,4.74816143404
TOUET DE L ESCARENE,6440,43.8520343234,7.37799210413
ROMENAY,71470,46.5142649874,5.08147006476
LA TOUR,6420,43.9626877314,7.19994914649
ROUSSILLON EN MORVAN,71550,47.0214021445,4.10448328724
TOURETTE DU CHATEAU,6830,43.8782752079,7.13734511498
RULLY,71150,46.8728849421,4.75062759298
TOURRETTE LEVENS,6690,43.7860737213,7.2725568209
SAILLY,71250,46.5326888362,4.56213978811
VALDEBLORE,6420,44.1127596533,7.19571891201
